index,conventional_buildings,building,building_occupants,occupant,building_design,facility,adaptation_urban,urban_life,urban_environment,urban_planning,city_center,dwell,housing,suburban,neighborhood,apartment,distance_city,citywide,urban_walking,suburbanization,city_centre,suburbanization_process,exurban_development,urbanization,old_city,new_city,urban_regeneration,urban_sites,urbanism,urban_area,urban_planners,new_building,urban_green,urban_environments,designer,urban_spaces,neighbourhood_building,urban_parks,historic_urban,apartment_design,apartment_building,apartment_residents,neighborhood_environment,neighborhood_appreciation,residential_neighborhood,young_urban,urban_form,urban_design,housing_development,neighborhood_level,public_housing,commodity_housing,neighborhood_characteristics,urban_cities,urban_hukou,urban_renewal,neurourbanism,dweller,urban_density,habitat_design,neighborhood_retail,english_housing,housing_quality,housing_factors,personal_housing,same_neighborhood,ses_neighborhoods,income_neighborhoods,neighborhood_income,megacity,neighborhood_impact,neighborhood_planning,neighborhood_satisfaction,courtyard_design,neighborhood_built,neighborhood_disorder,housing_neighborhoods,cluster_buildings,urban_structure,housing_characteristics,effect_housing,effects_housing,building_morphology,urban_greenness,policy_housing,neighborhood_relations,company_housing,housing_communities,urban_settings,urban_infrastructure,urban_living,urbanized,green_urban,urban_residential,compact_neighborhoods,suburban_neighborhoods,urban_forms,neighborhood_social,compact_city,city_residents,urban_sprawl
psychological_wellbeing,0.2404564917087555,,,0.09188240766525269,0.22916315495967865,0.1566196084022522,0.28393250703811646,0.2539927065372467,0.19568127393722534,0.18743892014026642,0.21224826574325562,0.24230410158634186,0.20634648203849792,0.13014937937259674,0.30115464329719543,0.2637573480606079,0.162422776222229,0.12196160852909088,0.0857156440615654,0.15626102685928345,0.10757860541343689,0.24472635984420776,0.11113683134317398,0.13467709720134735,0.18286742269992828,0.09238948673009872,0.2883710265159607,0.1906871795654297,0.12736248970031738,0.14944440126419067,0.07959411293268204,0.2389780580997467,0.11867708712816238,0.2813017666339874,,0.16019463539123535,0.21719713509082794,0.0687798261642456,0.14173156023025513,0.20393308997154236,0.10984409600496292,0.17104580998420715,0.13252376019954681,0.09143052995204926,0.16275037825107574,0.16916149854660034,0.20043735206127167,0.1210920587182045,0.1496528685092926,0.14156174659729004,0.27804434299468994,0.06495442986488342,0.29019731283187866,0.1327817142009735,0.20082733035087585,0.1026105135679245,0.10156567394733429,0.16524070501327515,0.11601072549819946,0.243302583694458,0.14305515587329865,0.13586188852787018,0.08765601366758347,0.2664370536804199,0.16460885107517242,0.19439692795276642,0.12813809514045715,0.20796822011470795,0.19378118216991425,0.1899680495262146,0.11147882789373398,0.18622863292694092,,0.08789962530136108,0.14429281651973724,0.18695460259914398,0.14620499312877655,0.06411545723676682,0.20492859184741974,0.1578182727098465,0.19240911304950714,0.1802292913198471,0.2007080316543579,0.12217260897159576,0.06467970460653305,0.17087413370609283,0.13115698099136353,0.11816471070051193,0.28919991850852966,0.14633646607398987,0.2444131076335907,0.1531495302915573,0.17485493421554565,0.21694833040237427,0.2296084612607956,0.24093851447105408,0.2012423723936081,0.2729853689670563,0.19625946879386902,0.12707668542861938,0.13959017395973206
wellbeing,0.13484352827072144,,,0.05716465786099434,,0.13736607134342194,0.28393250703811646,,,0.18743892014026642,0.11216697096824646,0.24230410158634186,0.09462270885705948,0.07677113264799118,0.10722909867763519,0.2637573480606079,0.162422776222229,0.07649124413728714,0.0857156440615654,,,0.0687105655670166,0.10924483835697174,,0.18286742269992828,,0.21709196269512177,0.1906871795654297,,,0.07959411293268204,,0.0903530940413475,0.09498884528875351,,,0.05182446166872978,,0.12317286431789398,0.20393308997154236,0.0711243525147438,0.17104580998420715,0.13252376019954681,,,0.16916149854660034,0.11891148239374161,0.07035182416439056,,0.053460732102394104,,0.05147497355937958,0.07896207273006439,0.10340328514575958,0.20082733035087585,0.1026105135679245,,0.1057170107960701,,,0.10293209552764893,,0.08765601366758347,0.2664370536804199,0.16460885107517242,0.09795719385147095,0.05942245200276375,0.20796822011470795,,0.05302554741501808,0.08967171609401703,0.1529877930879593,,,0.09570930898189545,0.18695460259914398,0.11845303326845169,0.06411545723676682,0.20492859184741974,0.1578182727098465,0.19240911304950714,,0.09223005175590515,0.12217260897159576,0.06467970460653305,,0.13115698099136353,0.06756097078323364,0.24133415520191193,0.05060230568051338,0.15679314732551575,,,,0.2296084612607956,0.05452580749988556,0.2012423723936081,0.2729853689670563,0.09974709153175354,0.05067703500390053,0.13959017395973206
health,0.08266422897577286,,,0.12028753012418747,,,0.05788641422986984,0.09584320336580276,0.06863987445831299,0.13056424260139465,0.05031174421310425,0.05902447924017906,,,0.15428976714611053,0.06512458622455597,,0.11073166131973267,,0.051409296691417694,0.11626984924077988,,0.13390614092350006,0.1416858285665512,0.16825975477695465,,0.15094693005084991,0.07934114336967468,,0.08587151020765305,,0.07649651169776917,,,0.13357605040073395,0.1551804095506668,0.06958115845918655,0.13157404959201813,0.12572595477104187,0.05166976898908615,0.05900239199399948,,0.12707993388175964,0.06096059828996658,,0.08476737886667252,0.14509698748588562,0.12160643190145493,,0.23616182804107666,0.07853733003139496,,0.11194895207881927,,,,,,0.05784022435545921,,0.10868002474308014,,0.06747207790613174,,0.11276271939277649,,0.12213025242090225,,,,0.17747469246387482,0.1095883697271347,,,0.07978785783052444,,0.11676835268735886,0.1946471929550171,,,0.06571446359157562,,0.07622165232896805,0.07881739735603333,,0.14893552660942078,,,0.14723855257034302,,,,,,0.09043203294277191,,,0.14653217792510986,,0.1011313796043396,0.0761677548289299
well,,,,,,,,,,0.11269217729568481,0.11216697096824646,0.24230410158634186,0.09462270885705948,,0.06356155872344971,,0.162422776222229,,,,,,0.10924483835697174,,0.15534162521362305,,0.12527085840702057,0.1906871795654297,,,,,,,,,0.05182446166872978,,,0.20393308997154236,,0.17104580998420715,0.13252376019954681,,,0.16916149854660034,0.11891148239374161,,,0.053460732102394104,,,0.07896207273006439,0.10340328514575958,0.07051185518503189,,,,,,,,,,0.16460885107517242,0.08185824751853943,,,,0.05302554741501808,0.08967171609401703,,,,0.09570930898189545,0.07544160634279251,,,,0.09181642532348633,0.19240911304950714,,,0.12217260897159576,,,,,0.24133415520191193,,0.12232939153909683,,,,,0.05452580749988556,0.2012423723936081,,,0.05067703500390053,0.13959017395973206
illness,0.2404564917087555,,,,0.22916315495967865,0.06627871096134186,0.09670411050319672,,0.07057087868452072,0.09460630267858505,0.1055973693728447,,,0.12492964416742325,,0.10882458090782166,,0.15596838295459747,,,,,0.11113683134317398,0.06704100966453552,0.0521247461438179,,,,0.08565951138734818,,,,0.11867708712816238,0.12420743703842163,,,,,0.05401206389069557,0.05214943736791611,0.10984409600496292,0.1520066261291504,,,0.0922808051109314,0.14679847657680511,0.11284755915403366,,0.09266266971826553,0.10152982175350189,,0.061218470335006714,,0.09788471460342407,,,0.06784582883119583,,,0.243302583694458,0.05093611776828766,,0.08785539120435715,0.06386968493461609,0.16195310652256012,,,0.08298566192388535,,0.14776869118213654,,0.18622863292694092,,,0.1292298138141632,,,,0.14559030532836914,0.06320792436599731,0.052790701389312744,,,,,,0.053142160177230835,,0.28919991850852966,0.14633646607398987,,0.19530178606510162,,0.254660040140152,,0.0963323786854744,0.1909928321838379,0.0918426513671875,0.05271834507584572,0.11474549770355225,0.10386782884597778
personal_well,0.2404564917087555,,0.2437315285205841,0.09188240766525269,0.22916315495967865,0.11202798038721085,0.09670411050319672,0.1627814620733261,0.06826631724834442,0.1258520632982254,0.11216697096824646,0.24230410158634186,0.11870987713336945,,0.3061346411705017,0.1381082683801651,0.162422776222229,0.07343617081642151,,0.2071278691291809,0.11833052337169647,0.24472635984420776,0.11113683134317398,0.10315254330635071,0.23604488372802734,0.10035640746355057,0.12527085840702057,0.1906871795654297,0.05083067715167999,0.10450603812932968,0.06709189713001251,,0.11867708712816238,0.15326499938964844,0.0787976011633873,,0.12610995769500732,0.16179411113262177,,0.20393308997154236,0.15006357431411743,0.17104580998420715,0.13252376019954681,0.11543027311563492,0.13003259897232056,0.16916149854660034,0.15974277257919312,0.11184820532798767,0.09266266971826553,0.10152982175350189,,0.061218470335006714,0.15340225398540497,0.14315243065357208,0.16454489529132843,,,0.09123439341783524,,0.243302583694458,,0.0797514095902443,0.07490134239196777,0.2361888438463211,0.16460885107517242,0.11859400570392609,0.2502915859222412,0.15128809213638306,0.1262412667274475,0.11897377669811249,0.19421018660068512,0.18622863292694092,0.07135806232690811,0.12293103337287903,0.13342377543449402,0.12119024991989136,0.1262357383966446,0.13339723646640778,0.14559030532836914,0.20741015672683716,0.19240911304950714,0.1802292913198471,0.051022008061409,0.1316957026720047,,0.11566954851150513,0.1775338351726532,0.28270357847213745,0.28919991850852966,0.14633646607398987,0.2444131076335907,0.12536242604255676,0.1629965454339981,0.17299333214759827,0.10856123268604279,0.2573626637458801,0.2012423723936081,0.07875245064496994,0.19625946879386902,0.11474549770355225,0.13959017395973206
psychological,0.2404564917087555,,,0.09188240766525269,0.22916315495967865,0.1566196084022522,0.18969246745109558,0.2539927065372467,0.09064412862062454,0.1258520632982254,0.1055973693728447,0.23526234924793243,0.20634648203849792,,0.30115464329719543,0.10882458090782166,,0.12196160852909088,,0.12386445701122284,0.10757860541343689,0.24472635984420776,0.11113683134317398,0.13467709720134735,0.06847691535949707,0.09238948673009872,0.2883710265159607,0.0641850158572197,0.054534345865249634,0.14944440126419067,0.05677264183759689,0.06332197785377502,0.11867708712816238,0.2813017666339874,,0.16019463539123535,0.12610995769500732,0.0687798261642456,0.07488356530666351,0.11721716821193695,0.10984409600496292,0.05388636514544487,,0.09143052995204926,0.13003259897232056,0.14679847657680511,0.20043735206127167,0.1210920587182045,0.09266266971826553,0.12187840789556503,,0.061218470335006714,0.15340225398540497,0.09827739000320435,0.09278768301010132,0.09643426537513733,0.10156567394733429,0.16524070501327515,0.11601072549819946,0.243302583694458,,0.13586188852787018,,0.1930132806301117,0.16195310652256012,0.19439692795276642,0.12813809514045715,0.08298566192388535,0.16371822357177734,0.06792003661394119,0.11147882789373398,0.18622863292694092,,0.08789962530136108,0.14429281651973724,,0.07305797934532166,,0.14559030532836914,0.08320518583059311,0.08750889450311661,0.1802292913198471,,0.08924750983715057,,0.17087413370609283,,0.11816471070051193,0.28919991850852966,0.14633646607398987,0.2444131076335907,0.1531495302915573,0.12636873126029968,0.21694833040237427,0.0874374583363533,0.24093851447105408,0.1909928321838379,0.19608855247497559,0.19625946879386902,0.11474549770355225,0.1383550465106964
depression,0.2404564917087555,,,0.09188240766525269,0.22916315495967865,0.11870653927326202,0.09670411050319672,0.09199937433004379,0.19347772002220154,0.14049412310123444,0.12331587821245193,0.23526234924793243,,0.11021564155817032,,0.11130418628454208,,0.08005741983652115,,0.12386445701122284,0.059812743216753006,0.24472635984420776,0.11903942376375198,0.06704100966453552,0.0521247461438179,,0.16758418083190918,0.0641850158572197,0.13077402114868164,,,,0.1278247982263565,,0.07903168350458145,,0.12610995769500732,0.09888089448213577,,0.12802232801914215,0.10984409600496292,0.23304341733455658,,,0.13003259897232056,0.14679847657680511,0.13788747787475586,,0.09266266971826553,0.10152982175350189,,0.07909535616636276,0.15340225398540497,0.12472640722990036,0.12261534482240677,0.05661207437515259,0.1332850605249405,,0.051575034856796265,0.243302583694458,0.061584845185279846,,,,0.16195310652256012,0.11463244259357452,0.12813809514045715,0.08298566192388535,0.1262412667274475,0.11907532811164856,0.061169009655714035,0.18622863292694092,,0.09397382289171219,0.1042192354798317,0.12378719449043274,0.07305797934532166,0.056433022022247314,0.16813980042934418,0.06320792436599731,0.09561901539564133,0.1802292913198471,0.06398780643939972,,,0.06679115444421768,,,0.28919991850852966,0.14633646607398987,0.2444131076335907,,,0.17299333214759827,0.05198574811220169,0.16498352587223053,0.1909928321838379,0.08644341677427292,0.19625946879386902,0.11474549770355225,0.1383550465106964
health_crisis,0.2404564917087555,0.2120637595653534,,0.12028753012418747,0.22916315495967865,0.2404790222644806,0.21364381909370422,0.09584320336580276,0.06863987445831299,0.13056424260139465,0.1387157440185547,0.07784709334373474,,,0.15428976714611053,0.10882458090782166,,0.11073166131973267,,0.051409296691417694,0.11626984924077988,0.12011932581663132,0.13390614092350006,0.1416858285665512,0.16825975477695465,,0.15094693005084991,0.07934114336967468,0.14175699651241302,0.08587151020765305,,0.08965755254030228,0.1796458214521408,0.12278858572244644,0.13357605040073395,0.3159623444080353,0.11786485463380814,0.13157404959201813,0.12572595477104187,0.05214943736791611,0.10984409600496292,0.08313107490539551,0.12707993388175964,0.06096059828996658,0.14314371347427368,0.14679847657680511,0.14509698748588562,0.12160643190145493,0.09266266971826553,0.23616182804107666,0.07853733003139496,0.2155456393957138,0.11194895207881927,0.09788471460342407,,0.2102363407611847,0.12493452429771423,0.05966506525874138,0.16522595286369324,0.243302583694458,0.22117969393730164,,0.06747207790613174,,0.16195310652256012,0.13601477444171906,0.12213025242090225,0.08298566192388535,0.27596646547317505,,0.17747469246387482,0.18622863292694092,,,0.07978785783052444,,0.11676835268735886,0.1946471929550171,0.14559030532836914,0.0660722404718399,0.09115468710660934,,0.19534654915332794,0.24474254250526428,0.1548261046409607,0.14893552660942078,,,0.28919991850852966,0.14633646607398987,,0.2497088462114334,0.12960810959339142,,0.1765642911195755,0.053079117089509964,0.1909928321838379,0.14653217792510986,0.16024430096149445,0.11474549770355225,0.10386782884597778
mental_health,0.08266422897577286,,,0.2094414234161377,,0.1553545743227005,0.17739491164684296,0.09584320336580276,0.06863987445831299,0.13056424260139465,0.05031174421310425,0.09615188837051392,0.1551784723997116,,0.15428976714611053,0.06512458622455597,0.053605273365974426,0.11087260395288467,0.1351616382598877,0.15662725269794464,0.11626984924077988,0.07052905112504959,0.13390614092350006,0.1416858285665512,0.16825975477695465,0.18831168115139008,0.15094693005084991,0.07934114336967468,,0.11419136077165604,,0.1876489669084549,0.18445102870464325,0.05391434207558632,0.13357605040073395,0.1551804095506668,0.30396768450737,0.14177706837654114,0.14537134766578674,0.14539788663387299,0.16195446252822876,,0.15135248005390167,0.06096059828996658,0.11276322603225708,0.08476737886667252,0.19064123928546906,0.12160643190145493,,0.23616182804107666,0.07853733003139496,0.06517506390810013,0.11194895207881927,0.10978107899427414,,,,,0.05784022435545921,0.1966695785522461,0.10868002474308014,0.22354044020175934,0.06747207790613174,0.19248707592487335,0.11276271939277649,0.2773968577384949,0.12213025242090225,,0.09231814742088318,,0.17747469246387482,0.1095883697271347,0.058306045830249786,0.18119694292545319,0.07978785783052444,0.06129784509539604,0.11676835268735886,0.1946471929550171,,,0.14961141347885132,,0.13266433775424957,0.07881739735603333,0.1028081476688385,0.14893552660942078,0.09599840641021729,0.12502431869506836,0.19113682210445404,0.10593774914741516,0.1377842277288437,,,0.14066782593727112,0.11255095899105072,0.09432860463857651,0.06264720857143402,0.14653217792510986,0.0885375365614891,0.1011313796043396,0.0761677548289299
mental_wellbeing,0.13484352827072144,0.2444000095129013,0.08107900619506836,0.1322990506887436,,0.20137980580329895,0.28393250703811646,0.05957445129752159,0.07872506231069565,0.18743892014026642,0.11216697096824646,0.24230410158634186,0.15644583106040955,0.08110231161117554,0.10722909867763519,0.2637573480606079,0.18034204840660095,0.11087260395288467,0.18488843739032745,0.15662725269794464,,0.1359606385231018,0.10924483835697174,,0.18286742269992828,0.18831168115139008,0.21709196269512177,0.1906871795654297,,0.11419136077165604,0.07959411293268204,,0.1220967173576355,0.09498884528875351,0.06834091991186142,0.22071197628974915,0.30396768450737,0.10937818884849548,0.12317286431789398,0.20393308997154236,0.16195446252822876,0.17104580998420715,0.13252376019954681,0.07318761199712753,0.11276322603225708,0.16916149854660034,0.11891148239374161,0.11276368796825409,,0.053460732102394104,,0.14062704145908356,0.07896207273006439,0.10978107899427414,0.20082733035087585,0.1682734489440918,0.07211975008249283,0.1057170107960701,,0.1966695785522461,0.10293209552764893,0.22354044020175934,0.10782328248023987,0.2664370536804199,0.16460885107517242,0.09795719385147095,0.12371856719255447,0.20796822011470795,0.09231814742088318,0.05302554741501808,0.08967171609401703,0.1529877930879593,0.12630052864551544,0.1360791027545929,0.09570930898189545,0.18695460259914398,0.11845303326845169,0.2963409721851349,0.20492859184741974,0.1578182727098465,0.19240911304950714,,0.13266433775424957,0.12217260897159576,0.13306790590286255,0.06607947498559952,0.13115698099136353,0.12502431869506836,0.24133415520191193,0.11440657824277878,0.15679314732551575,,0.08714635670185089,0.05351435765624046,0.2296084612607956,0.09432860463857651,0.2012423723936081,0.2729853689670563,0.09974709153175354,0.10746188461780548,0.13959017395973206
mental,0.058336857706308365,,,0.1322990506887436,,0.1553545743227005,,0.05957445129752159,,0.12750139832496643,,0.09615188837051392,,,0.07472963631153107,,0.053605273365974426,0.11087260395288467,0.1351616382598877,0.15662725269794464,,0.07052905112504959,0.06671092659235,,,0.18831168115139008,,0.05742606148123741,,0.11419136077165604,,,0.08318998664617538,0.05391434207558632,,,0.30396768450737,,0.07741448283195496,,0.16195446252822876,,,,0.11276322603225708,,,0.05212954059243202,,,,0.06517506390810013,,0.10978107899427414,,,,,,0.1966695785522461,0.05763038620352745,0.22354044020175934,,0.19248707592487335,,0.07933466136455536,0.09111454337835312,,0.09231814742088318,,,0.06918833404779434,0.058306045830249786,0.1360791027545929,,0.06129784509539604,0.09638310968875885,,,,0.14961141347885132,,0.13266433775424957,,0.1028081476688385,0.06607947498559952,0.09599840641021729,0.12502431869506836,,0.10593774914741516,0.07451239228248596,,,0.05351435765624046,0.09763459861278534,0.09432860463857651,0.06264720857143402,0.06956760585308075,0.0885375365614891,,
impact_mental,0.13813254237174988,0.07769380509853363,0.14022967219352722,0.1322990506887436,0.05888272449374199,0.1553545743227005,0.12231108546257019,0.05957445129752159,0.10593828558921814,0.12750139832496643,0.07267151772975922,0.23526234924793243,0.1785794198513031,0.05428355932235718,0.07472963631153107,0.09604960680007935,0.10431938618421555,0.11981010437011719,0.14696326851844788,0.15662725269794464,0.11534128338098526,0.24472635984420776,0.06671092659235,0.1589066982269287,0.12180579453706741,0.18831168115139008,0.14856968820095062,0.0641850158572197,0.17821693420410156,0.11419136077165604,0.09928218275308609,,0.15614348649978638,0.16403785347938538,,,0.30396768450737,0.055723998695611954,0.15517711639404297,0.106778584420681,0.16195446252822876,0.05388636514544487,,,0.13003259897232056,0.08267119526863098,,0.12096800655126572,0.21249213814735413,0.10340724140405655,,0.06517506390810013,0.20891286432743073,0.1899663656949997,0.09278768301010132,0.06676606088876724,0.11859508603811264,0.06136060133576393,0.12155675143003464,0.2533433139324188,0.05763038620352745,0.22354044020175934,,0.19248707592487335,0.20635780692100525,0.2773193418979645,0.12813809514045715,0.2167399823665619,0.1919417679309845,,,0.14241093397140503,0.058306045830249786,0.1360791027545929,,0.06129784509539604,0.20496852695941925,0.0854116678237915,,0.20994973182678223,0.14961141347885132,0.1802292913198471,0.19412904977798462,0.16238431632518768,0.11275959759950638,0.06607947498559952,0.09599840641021729,0.1835123896598816,,0.10593774914741516,0.2444131076335907,,0.1565609723329544,0.17299333214759827,0.09763459861278534,0.11681269854307175,0.10704772174358368,0.11482270807027817,0.19625946879386902,0.08885838836431503,0.26555511355400085
mental_illness,0.2404564917087555,,0.08135699480772018,0.1322990506887436,0.22916315495967865,0.1553545743227005,0.09670411050319672,0.05957445129752159,0.07057087868452072,0.12750139832496643,0.1055973693728447,0.15148255228996277,0.08541345596313477,0.12492964416742325,0.12909777462482452,0.10882458090782166,0.15856143832206726,0.15596838295459747,0.1351616382598877,0.15662725269794464,,0.07052905112504959,0.11113683134317398,0.14812231063842773,0.0521247461438179,0.18831168115139008,,0.1564563512802124,0.08565951138734818,0.1681647151708603,,,0.11867708712816238,0.12420743703842163,0.0918499082326889,,0.30396768450737,,0.07741448283195496,0.05214943736791611,0.16195446252822876,0.1520066261291504,,,0.11276322603225708,0.14679847657680511,0.11284755915403366,0.11576740443706512,0.1543872207403183,0.12094741314649582,,0.06517506390810013,,0.10978107899427414,0.26667073369026184,,0.06784582883119583,,,0.243302583694458,0.05763038620352745,0.22354044020175934,0.08785539120435715,0.19248707592487335,0.16195310652256012,0.07933466136455536,0.16480305790901184,0.08298566192388535,0.09231814742088318,0.14776869118213654,,0.18622863292694092,0.058306045830249786,0.1360791027545929,0.1292298138141632,0.06129784509539604,0.09638310968875885,,0.14559030532836914,0.06320792436599731,0.14961141347885132,,0.13266433775424957,,0.1028081476688385,0.06607947498559952,0.14783556759357452,0.12502431869506836,0.28919991850852966,0.14633646607398987,0.07451239228248596,0.19530178606510162,,0.254660040140152,0.09763459861278534,0.13581319153308868,0.1909928321838379,0.0918426513671875,0.0885375365614891,0.1302795559167862,0.10386782884597778
poor_mental,0.10871340334415436,,0.07135980576276779,0.1322990506887436,0.13951577246189117,0.1553545743227005,,0.05957445129752159,0.09490207582712173,0.12750139832496643,0.13354149460792542,0.23526234924793243,,0.11858640611171722,0.18645617365837097,0.09604960680007935,0.053605273365974426,0.25836181640625,0.1351616382598877,0.15662725269794464,0.059812743216753006,0.24472635984420776,0.06671092659235,0.07924358546733856,0.14840400218963623,0.18831168115139008,0.10942237824201584,0.0641850158572197,0.1657097190618515,0.11419136077165604,0.058580100536346436,0.1108277216553688,0.10959573090076447,0.05391434207558632,0.16039279103279114,,0.30396768450737,0.06048000231385231,0.07741448283195496,,0.16195446252822876,0.14911939203739166,0.16975973546504974,,0.13003259897232056,0.1400948166847229,0.1057540774345398,0.27318480610847473,,0.08888828754425049,0.16276437044143677,0.06517506390810013,0.15340225398540497,0.10978107899427414,0.09278768301010132,,0.08287090063095093,0.08101562410593033,0.21982929110527039,0.1966695785522461,0.05763038620352745,0.22354044020175934,,0.19248707592487335,0.1396748274564743,0.11463244259357452,0.12813809514045715,0.052191928029060364,0.15801368653774261,,0.2261362373828888,0.06918833404779434,0.20268599689006805,0.18968559801578522,,0.06129784509539604,0.09638310968875885,,0.07460372895002365,,0.14961141347885132,0.24088461697101593,0.13266433775424957,0.17484860122203827,0.1028081476688385,0.07860487699508667,0.14672726392745972,0.12502431869506836,0.21017977595329285,0.10593774914741516,0.2444131076335907,0.21885570883750916,,0.17299333214759827,0.09763459861278534,0.09432860463857651,0.06264720857143402,0.09118711203336716,0.19625946879386902,0.18082363903522491,0.14135010540485382
feel_healthy,0.08266422897577286,,,0.12028753012418747,0.07147839665412903,,0.20597334206104279,0.09584320336580276,0.10157477110624313,0.13056424260139465,0.05031174421310425,0.09573381394147873,,0.14143511652946472,0.15428976714611053,0.06512458622455597,0.17362771928310394,0.21240456402301788,,0.051409296691417694,0.24017566442489624,0.14297132194042206,0.1467769593000412,0.1416858285665512,0.16825975477695465,0.1292428821325302,0.15094693005084991,0.08828315883874893,,0.08587151020765305,0.11810748279094696,0.07649651169776917,,0.05958886817097664,0.1848757266998291,0.1551804095506668,0.06958115845918655,0.13157404959201813,0.12572595477104187,0.055736131966114044,0.13612768054008484,0.1391473412513733,0.12707993388175964,0.1940004825592041,,0.19041450321674347,0.14509698748588562,0.22050981223583221,,0.23616182804107666,0.12807480990886688,0.0878637284040451,0.11194895207881927,,0.1415727138519287,,0.05790628120303154,0.14861516654491425,0.05784022435545921,,0.1323671191930771,0.13563229143619537,0.06747207790613174,0.16625219583511353,0.11276271939277649,0.15867269039154053,0.12213025242090225,,0.16422508656978607,0.06421320140361786,0.17747469246387482,0.1125134751200676,0.13879936933517456,0.1351642906665802,0.11359278112649918,0.11739736050367355,0.13843999803066254,0.1946471929550171,0.27003049850463867,0.07595338672399521,0.12968243658542633,,0.07622165232896805,0.15836618840694427,0.10239274799823761,0.14893552660942078,0.12804843485355377,0.09165695309638977,0.14723855257034302,0.07000533491373062,0.07011448591947556,0.16185405850410461,,,0.09043203294277191,0.21193882822990417,,0.18389536440372467,,0.22651199996471405,0.0761677548289299
